uuid,freq,date,source_name,source_filename,adm3_pcode,disease_icd10_code,disease_common_name,case_total
DPSRT00006D,W,2008-03-10,PIDSR-DOH,City-weekly_2008-2022,PH034919000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00006E,W,2008-03-10,PIDSR-DOH,City-weekly_2008-2022,PH050506000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00006F,W,2008-03-10,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000070,W,2008-03-10,PIDSR-DOH,City-weekly_2008-2022,PH072230000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000071,W,2008-03-10,PIDSR-DOH,City-weekly_2008-2022,PH083747000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000072,W,2008-03-10,PIDSR-DOH,City-weekly_2008-2022,PH097332000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000073,W,2008-03-10,PIDSR-DOH,City-weekly_2008-2022,PH104305000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000074,W,2008-03-10,PIDSR-DOH,City-weekly_2008-2022,PH112402000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000075,W,2008-03-10,PIDSR-DOH,City-weekly_2008-2022,PH137401000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000076,W,2008-03-10,PIDSR-DOH,City-weekly_2008-2022,PH137603000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000077,W,2008-03-10,PIDSR-DOH,City-weekly_2008-2022,PH137503000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000078,W,2008-03-17,PIDSR-DOH,City-weekly_2008-2022,PH015518000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000079,W,2008-03-17,PIDSR-DOH,City-weekly_2008-2022,PH034919000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00007A,W,2008-03-17,PIDSR-DOH,City-weekly_2008-2022,PH050506000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00007B,W,2008-03-17,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00007C,W,2008-03-17,PIDSR-DOH,City-weekly_2008-2022,PH072230000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00007D,W,2008-03-17,PIDSR-DOH,City-weekly_2008-2022,PH083747000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00007E,W,2008-03-17,PIDSR-DOH,City-weekly_2008-2022,PH097332000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00007F,W,2008-03-17,PIDSR-DOH,City-weekly_2008-2022,PH104305000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000080,W,2008-03-17,PIDSR-DOH,City-weekly_2008-2022,PH112402000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000081,W,2008-03-17,PIDSR-DOH,City-weekly_2008-2022,PH137401000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000082,W,2008-03-17,PIDSR-DOH,City-weekly_2008-2022,PH137603000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000083,W,2008-03-17,PIDSR-DOH,City-weekly_2008-2022,PH137503000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000084,W,2008-03-24,PIDSR-DOH,City-weekly_2008-2022,PH015518000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000085,W,2008-03-24,PIDSR-DOH,City-weekly_2008-2022,PH034919000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000086,W,2008-03-24,PIDSR-DOH,City-weekly_2008-2022,PH050506000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000087,W,2008-03-24,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000088,W,2008-03-24,PIDSR-DOH,City-weekly_2008-2022,PH072230000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000089,W,2008-03-24,PIDSR-DOH,City-weekly_2008-2022,PH083747000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00008A,W,2008-03-24,PIDSR-DOH,City-weekly_2008-2022,PH097332000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00008B,W,2008-03-24,PIDSR-DOH,City-weekly_2008-2022,PH104305000,A09.0,ACUTE BLOODY DIARRHEA,2
DPSRT00008C,W,2008-03-24,PIDSR-DOH,City-weekly_2008-2022,PH112402000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00008D,W,2008-03-24,PIDSR-DOH,City-weekly_2008-2022,PH137401000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00008E,W,2008-03-24,PIDSR-DOH,City-weekly_2008-2022,PH137603000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00008F,W,2008-03-24,PIDSR-DOH,City-weekly_2008-2022,PH137503000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000090,W,2008-03-31,PIDSR-DOH,City-weekly_2008-2022,PH015518000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000091,W,2008-03-31,PIDSR-DOH,City-weekly_2008-2022,PH034919000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000092,W,2008-03-31,PIDSR-DOH,City-weekly_2008-2022,PH050506000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000093,W,2008-03-31,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000094,W,2008-03-31,PIDSR-DOH,City-weekly_2008-2022,PH072230000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000095,W,2008-03-31,PIDSR-DOH,City-weekly_2008-2022,PH083747000,A09.0,ACUTE BLOODY DIARRHEA,0
